code,prefix,id,quantity
POR6,POR,6,1
POR7,POR,7,1
POR8,POR,8,1
POR9,POR,9,1
POR10,POR,10,1
POR11,POR,11,1
POR12,POR,12,1
POR13,POR,13,1
POR14,POR,14,1
POR15,POR,15,1
POR16,POR,16,1
POR17,POR,17,1
POR18,POR,18,1
POR19,POR,19,1
POR20,POR,20,1
GHA1,GHA,1,1
GHA2,GHA,2,1
GHA3,GHA,3,1
GHA4,GHA,4,1
GHA5,GHA,5,1
GHA6,GHA,6,1
GHA7,GHA,7,1
GHA8,GHA,8,1
GHA9,GHA,9,1
GHA10,GHA,10,1
GHA11,GHA,11,1
GHA12,GHA,12,1
GHA13,GHA,13,1
GHA14,GHA,14,1
GHA15,GHA,15,1
GHA16,GHA,16,1
GHA17,GHA,17,1
GHA18,GHA,18,1
GHA19,GHA,19,1
GHA20,GHA,20,1
URU1,URU,1,1
URU2,URU,2,1
URU3,URU,3,1
URU4,URU,4,1
URU5,URU,5,1
URU6,URU,6,1
URU7,URU,7,1
URU8,URU,8,1
URU9,URU,9,1
URU10,URU,10,1
URU11,URU,11,1
URU12,URU,12,1
URU13,URU,13,1
URU14,URU,14,1
URU15,URU,15,1
URU16,URU,16,1
URU17,URU,17,1
URU18,URU,18,1
URU19,URU,19,1
URU20,URU,20,1
KOR1,KOR,1,1
KOR2,KOR,2,1
KOR3,KOR,3,1
KOR4,KOR,4,1
KOR5,KOR,5,1
KOR6,KOR,6,1
KOR7,KOR,7,1
KOR8,KOR,8,1
KOR9,KOR,9,1
KOR10,KOR,10,1
KOR11,KOR,11,1
KOR12,KOR,12,1
KOR13,KOR,13,1
KOR14,KOR,14,1
KOR15,KOR,15,1
KOR16,KOR,16,1
KOR17,KOR,17,1
KOR18,KOR,18,1
KOR19,KOR,19,1
KOR20,KOR,20,1
